name,sender,receiver,cycle_ms,channel,gateway_to_channel,frame_id
LIDAR_OBJECT_LIST,LIDAR_FRONT,ADAS_DOMAIN,20,0,1,0x100
CAMERA_LANE_MODEL,CAMERA_FRONT_WIDE,ADAS_DOMAIN,33,1,,0x101
RADAR_TARGET_LIST,RADAR_FRONT_LONG_RANGE,ADAS_DOMAIN,20,2,,0x102
REAR_CROSS_TRAFFIC,RADAR_REAR_CROSS_TRAFFIC,ADAS_DOMAIN,50,3,,0x103
ULTRASONIC_LEFT_DISTANCE,ULTRASONIC_LEFT_CLUSTER,PARK_ASSIST,40,4,,0x104
ULTRASONIC_RIGHT_DISTANCE,ULTRASONIC_RIGHT_CLUSTER,PARK_ASSIST,40,5,,0x105
IMU_DYNAMICS,IMU_YAW_RATE_SENSOR,ADAS_DOMAIN,10,6,,0x106
WHEEL_SPEED_FL,WHEEL_SPEED_FRONT_LEFT,BRAKE_CONTROLLER,10,7,,0x107
BRAKE_STATUS,BRAKE_CONTROLLER,ADAS_DOMAIN,20,8,,0x108
ADAS_MOTION_REQUEST,ADAS_DOMAIN,VEHICLE_MOTION_CONTROLLER,20,9,,0x109
